,sigla_uf,populacao_atendida_agua,indice_consumo_agua_per_capita
3865,PE,12684,150.2
3866,PI,7492,94.5
3867,PR,4791,164.8
3868,RJ,167127,89.5
3869,RN,3974,86.3
3870,RN,9661,84.0
3871,RS,373,143.0
3872,RS,324026,150.4
3873,RS,6458,159.0
3874,SC,5100,145.3
3875,SE,7442,73.2
3876,SP,17930,216.6
3877,SP,3419,120.5
3878,SP,55000,191.6
3879,SP,3138,133.5
3880,SP,3868,169.5
3881,SP,8992,168.6
3882,SP,3949,154.5
4611,AM,30249,216.5
4612,BA,2590,103.2
4613,BA,10298,103.0
4614,BA,65550,99.2
4615,BA,10546,94.3
4616,BA,360425,109.9
4617,CE,37887,120.1
4618,CE,2921,120.2
4619,ES,7341,128.5
4620,GO,18503,125.3
4621,GO,8968,182.6
4622,GO,10782,136.1
4623,GO,70073,278.4
4624,MA,50571,505.4
4625,MG,9105,151.5
4626,MG,3367,521.7
4627,MG,19522,157.3
4628,MG,13646,121.1
4629,MG,517860,162.5
4630,MG,4546,118.5
4631,MG,7400,312.6
4632,MG,105711,143.0
4633,MG,4361,125.1
4634,MG,3686,226.8
4635,MG,3315,194.2
4636,MG,2524,146.5
4637,MG,26842,147.5
4638,MS,3172,159.8
4639,MS,215338,158.0
4640,MS,1530,237.6
4641,MS,71612,149.8
4642,MS,3502,170.0
4643,PB,3878,35.4
4644,PB,2017,98.9
4645,PE,11562,60.6
4646,PE,3167,638.3
4647,PE,23410,68.4
4648,PE,11427,91.2
4649,PR,12974,109.3
4650,PR,21405,150.9
4651,PR,9636,113.8
4652,PR,24746,150.8
4653,RN,8988,152.7
4654,RS,15837,121.1
4655,RS,224124,100.1
4656,SC,2598,143.0
4657,SP,51456,151.5
4658,SP,2203,165.4
4659,SP,25627,164.8
4660,SP,4000,495.0
4661,SP,7320,474.1
4662,SP,14572,182.3
4663,SP,45282,130.3
4664,SP,80886,162.0
4665,SP,1471,188.3
4666,SP,1972,162.9
4667,SP,1726,119.7
4668,SP,748919,165.8
4669,SP,273542,140.9
4670,SP,9891,167.9
5381,BA,6685,99.2
5382,BA,18781,107.5
5383,BA,12474,112.4
5384,BA,6625,105.3
5385,CE,51972,125.8
5386,ES,8267,145.0
5387,GO,22320,121.6
5388,GO,8185,124.3
5389,GO,30480,157.1
5390,MG,125317,110.8
5391,MG,3059,112.5
5392,MG,6625,108.7
5393,MG,108223,164.0
5394,MG,2553,189.6
5395,MG,15162,180.7
5396,MG,5900,130.4
5397,MT,4913,179.7
5398,PA,11192,184.1
5399,PB,11666,105.8
5400,PR,19618,108.3
5401,PR,25472,144.2
5402,PR,18995,129.9
5403,PR,28827,109.6
5404,PR,9556,126.9
5405,PR,4734,114.0
5406,PR,8214,113.7
5407,RJ,261444,187.7
5408,RO,19952,111.5
5409,RO,100359,132.9
5410,RR,398806,149.7
5411,RS,1380,148.9
5412,SC,16829,159.1
5413,SC,59035,115.5
5414,SC,38531,135.3
5415,SE,3809,108.7
5416,SP,196264,213.5
5417,SP,25246,201.0
5418,SP,10656,188.4
5419,SP,9432,239.9
5420,SP,6830,204.2
5421,SP,68770,202.7
5422,SP,118045,133.8
5423,SP,15999,173.5
5424,SP,10654,168.7
5425,SP,38508,163.6
5426,SP,3681,176.3
5427,SP,8265,224.5
5428,SP,8118,144.8
5429,SP,7073,252.0
5430,SP,4552,126.7
5431,SP,7924,157.1
6166,AL,55986,108.1
6167,AL,67829,86.9
6168,BA,183208,243.0
6169,CE,5583,138.5
