,sigla_uf,populacao_atendida_agua,indice_consumo_agua_per_capita
15679,MG,15291,208.8
15680,MG,8914,122.9
15681,MG,713224,246.3
15682,MG,6069,129.0
15683,MS,4604,128.3
15684,MS,3517,181.0
15685,PB,418139,116.0
15686,PB,10952,90.6
15687,PE,378052,149.0
15688,PE,9942,87.4
15689,PE,16935,107.0
15690,PE,7656,141.7
15691,PE,6118,81.8
15692,PR,16387,128.6
15693,PR,182074,124.2
15694,PR,9299,85.4
15695,PR,30421,220.5
15696,PR,4786,102.3
15697,PR,10404,123.4
15698,RJ,165524,112.2
15699,RS,31737,137.7
15700,RS,3888,197.0
15701,RS,4848,155.6
15702,RS,2630,116.7
15703,RS,3805,202.6
15704,RS,14160,110.6
15705,RS,3676,112.9
15706,SP,2851,166.4
15707,SP,4765,176.9
15708,SP,7805,173.9
15709,SP,4759,171.7
15710,SP,31017,181.3
15711,SP,13900,139.5
15712,SP,17459,183.3
15713,SP,22431,131.0
15714,SP,696753,272.2
15715,SP,126387,221.8
15716,SP,2213,270.4
16455,AL,24180,86.9
16456,AL,33187,76.6
16457,BA,7290,67.7
16458,BA,8165,121.2
16459,BA,9752,90.2
16460,BA,14147,80.2
16461,BA,7001,84.9
16462,BA,88910,126.5
16463,BA,18100,104.9
16464,CE,10190,268.5
16465,CE,42053,199.1
16466,CE,4471,145.7
16467,CE,5044,122.9
16468,GO,4897,103.6
16469,GO,12870,212.8
16470,MG,117808,510.7
16471,MG,3002,132.9
16472,MG,3377,230.3
16473,MG,8761,182.9
16474,MG,64236,140.2
16475,MG,3922,162.8
16476,MG,2549,209.3
16477,MG,46103,165.3
16478,MG,4009,121.7
16479,MG,24790,195.8
16480,MG,20663,183.2
16481,MG,2130,176.9
16482,MG,2962,170.9
16483,MG,7500,145.9
16484,MG,6640,135.5
16485,MG,36507,139.8
16486,MG,6620,185.9
16487,MG,4097,193.1
16488,MT,7829,122.5
16489,PB,4687,41.2
16490,PE,20651,68.2
16491,PE,92228,107.7
16492,PR,134429,108.7
16493,PR,99422,151.3
16494,PR,7204,99.9
16495,PR,91991,149.1
16496,PR,127019,125.6
16497,RJ,481749,197.8
16498,RJ,56234,346.4
16499,RS,1905,186.4
16500,RS,2161,122.1
16501,RS,76316,169.1
16502,SC,10566,117.5
16503,SC,74796,118.7
16504,SP,32443,184.3
16505,SP,3490,179.1
16506,SP,2101,158.7
16507,SP,10347,207.4
16508,SP,59347,211.9
16509,SP,6338,153.5
16510,SP,2400,318.8
16511,SP,1269,171.2
16512,SP,1932,263.4
16513,SP,4875,165.5
16514,SP,10067,183.5
16515,TO,2377,123.6
17218,BA,17486,95.7
17219,BA,65200,33.7
17220,BA,73456,117.7
17221,BA,65897,129.2
17222,BA,5192,69.9
17223,BA,98368,142.6
17224,BA,19180,175.0
17225,BA,21207,89.1
17226,BA,22783,101.0
17227,BA,38000,124.8
17228,BA,68365,115.6
17229,ES,15551,160.4
17230,ES,17711,71.0
17231,ES,322869,211.1
17232,GO,45157,105.3
17233,MA,83502,137.9
17234,MG,70180,182.1
17235,MG,1726,177.3
17236,MG,17290,148.2
17237,MG,1967,162.9
17238,MG,5464,143.0
17239,MG,2374,118.0
17240,MG,8690,108.4
17241,MG,34896,152.2
17242,MG,5293,144.1
17243,MG,34621,132.1
17244,MG,32611,129.0
17245,MG,337836,199.5
17246,MT,69671,190.5
17247,PA,17000,241.7
17248,PA,101060,128.1
17249,PB,922,64.5
17250,PB,2662,87.2
17251,PE,40004,109.6
17252,PE,23518,131.5
17253,PE,18382,90.3
17254,PE,9169,108.4
17255,PI,21343,90.3
17256,PR,18998,324.3
17257,PR,22896,151.1
17258,PR,32093,149.6
17259,PR,40370,147.0
17260,PR,8897,185.7
17261,PR,6732,88.1
17262,RJ,9999,154.3
17263,RN,25330,99.2
17264,RN,3116,101.8
17265,RN,33035,166.6
17266,RS,94734,144.4
17267,RS,30836,125.9
17268,SC,51974,111.4
17269,SC,3860,213.4
17270,SP,130180,166.1
17271,SP,76373,208.6
17272,SP,250691,129.6
17273,SP,353573,124.9
17274,SP,40968,134.4
17275,SP,441565,204.4
17276,SP,3346,147.4
17277,SP,5112,253.2
17278,SP,14576,270.6
17279,SP,2619,170.5
17280,SP,1283,198.1
17281,TO,7302,153.7
18003,BA,15949,131.8
18004,BA,29939,109.9
18005,CE,62326,249.1
18006,CE,38112,92.9
18007,CE,21607,93.4
18008,CE,14975,237.5
18009,CE,18878,177.8
18010,GO,22355,130.2
18011,GO,1017,217.9
18012,GO,97976,98.2
18013,MA,112796,163.6
18014,MG,6243,119.6
18015,MG,10552,133.1
18016,MG,5886,94.7
18017,MG,6239,150.1
18018,MG,16338,144.7
18019,MG,4831,122.0
18020,MG,47267,226.8
18021,MG,25393,168.5
18022,MG,134717,157.9
18023,MG,2823,132.3
18024,MG,2917,137.4
18025,MG,5248,105.6
18026,MG,7302,145.6
18027,MS,7243,129.2
18028,PB,7781,81.8
18029,PB,15707,107.1
18030,PE,30144,94.9
18031,PE,142506,134.3
18032,PE,56128,143.9
18033,PE,334916,89.2
18034,PI,3152,129.3
18035,PR,6470,96.0
18036,PR,11465,121.8
18037,PR,8990,163.3
18038,PR,555909,178.1
18039,PR,18191,118.6
18040,PR,13068,141.4
18041,PR,13058,122.2
18042,PR,17268,100.1
18043,RJ,533615,119.3
18044,RJ,15986,95.1
18045,RS,54192,120.3
18046,RS,2800,359.1
18047,RS,24606,139.2
18048,RS,132107,129.8
18049,SC,40951,105.8
18050,SC,2546,105.8
18051,SC,5530,142.0
18052,SC,7434,111.8
18053,SP,6864,159.6
18054,SP,4688,208.2
18055,SP,34801,342.2
18056,SP,11846,177.5
18057,SP,3447,185.3
18058,SP,2853,134.4
18059,SP,6808,96.1
18060,SP,1059,37.5
18061,SP,12682,140.1
18062,SP,5365,214.9
18063,SP,35039,158.3
18064,SP,7040,178.0
18065,SP,2938,160.4
18066,SP,49126,226.0
18814,AL,4720,86.3
18815,AM,2053105,129.9
18816,BA,1754,145.2
18817,CE,28159,211.6
18818,CE,11558,142.0
18819,CE,19404,188.6
18820,ES,117592,161.8
18821,ES,12735,131.9
18822,GO,29018,127.5
18823,MA,106550,116.8
18824,MG,3298,136.6
18825,MG,13248,129.1
18826,MG,2534,125.3
18827,MG,2255,219.1
18828,MG,4570,145.0
18829,MG,95893,166.3
18830,MG,11828,108.8
18831,MG,7739,181.0
18832,MG,23478,139.1
18833,MG,4531,119.6
18834,MG,22531,158.4
18835,MG,3275,172.6
18836,MS,19071,142.2
18837,MS,11023,174.6
18838,MT,9276,142.6
18839,MT,20113,155.2
18840,PB,14200,98.7
18841,PE,86516,168.6
18842,PE,14166,91.2
18843,PE,14629,96.8
18844,PE,30321,95.7
18845,PI,18086,100.8
18846,PR,14831,143.7
18847,PR,79519,140.8
18848,PR,148858,121.1
18849,PR,8008,84.6
18850,PR,10400,114.1
18851,PR,27645,104.1
18852,PR,15930,160.9
18853,PR,55027,122.1
18854,RJ,5415,311.5
18855,RJ,785867,98.3
18856,RN,6231,85.2
18857,RN,26701,116.5
18858,RS,117539,151.4
18859,RS,72999,150.8
18860,SC,36932,109.2
18861,SC,110088,163.2
18862,SE,26231,81.5
18863,SP,10054,154.5
18864,SP,45248,169.8
18865,SP,7750,296.4
18866,SP,2166,148.0
18867,SP,3680,587.2
18868,SP,16771,598.4
18869,SP,36938,199.2
18870,SP,19559,178.6
18871,SP,7235,192.8
18872,SP,1796,159.4
18873,SP,6034,175.4
18874,SP,33394,335.9
18875,SP,1400,201.6
18876,SP,480393,235.6
18877,SP,25070,224.7
18878,SP,112856,154.3
19601,AL,2312,128.5
19602,AL,32106,48.7
19603,AL,10984,92.1
19604,BA,10624,95.9
19605,BA,4829,94.2
19606,BA,16533,83.8
19607,BA,8641,104.8
19608,CE,8751,72.0
19609,CE,24173,125.7
19610,CE,2041686,130.6
19611,CE,36012,114.0
19612,CE,10423,164.6
19613,GO,15498,257.2
19614,GO,7201,109.4
19615,MG,28599,173.6
19616,MG,6590,165.6
19617,MG,766,199.2
19618,MG,3435,137.6
19619,MG,5307,118.3
19620,MG,2569,223.0
19621,MG,31234,137.1
19622,MG,36062,208.0
19623,MG,25888,163.2
19624,MG,8337,151.9
19625,MG,1867,156.1
19626,MS,23197,141.7
19627,MS,9950,150.2
19628,PB,2359,108.3
19629,PE,8920,100.0
19630,PR,27684,97.2
19631,RN,8988,84.4
19632,RN,28141,83.0
19633,RS,38107,112.4
19634,SC,12460,215.5
19635,SE,100518,113.2
19636,SE,14110,71.7
19637,SE,24766,70.9
19638,SP,4442,173.4
19639,SP,5138,296.0
19640,SP,84391,162.4
19641,SP,3027,166.4
19642,SP,60696,174.2
19643,SP,63349,233.1
19644,SP,11385,180.7
19645,SP,36651,168.6
19646,SP,9050,157.9
19647,SP,5311,190.6
19648,SP,20745,141.6
20390,BA,19811,111.2
20391,BA,13183,42.1
20392,BA,12656,64.5
20393,CE,43300,187.8
20394,CE,12648,267.1
20395,ES,97336,212.7
20396,GO,5425,145.8
20397,GO,11639,153.8
20398,MG,24809,146.0
20399,MG,7980,163.4
20400,MG,2648,119.4
20401,MG,3723,153.7
20402,MG,5280,170.6
20403,MG,1971,178.6
20404,MG,7282,93.1
20405,MG,20050,177.1
20406,MG,2550,97.1
20407,MG,1905,119.1
20408,MG,85160,146.8
20409,MG,274549,130.4
20410,MG,3000,134.9
20411,MS,15019,151.3
20412,MS,8178,143.6
20413,PA,43975,100.5
20414,PB,2684,91.4
20415,PE,7918,83.3
20416,PE,62424,105.0
20417,PI,821167,168.6
20418,PR,7368,113.2
20419,PR,40007,98.6
20420,PR,4824,109.7
20421,PR,11576,92.9
20422,PR,23290,93.1
20423,PR,2818,164.5
20424,RN,2854,94.1
20425,RN,5039,61.3
20426,RN,17962,123.4
20427,RN,6194,102.3
20428,RS,29341,136.4
20429,SC,70125,156.0
20430,SC,37372,114.2
20431,SC,49474,195.7
20432,SE,55068,129.1
20433,SE,2690,93.4
20434,SP,23373,177.8
20435,SP,3391,163.3
20436,SP,11257,170.9
20437,SP,731,163.6
20438,SP,26650,313.0
20439,SP,12278,130.3
20440,SP,16416,159.1
20441,SP,6045,198.9
20442,SP,11327,162.4
20443,SP,27983,203.5
20444,SP,59304,214.1
20445,SP,15879,165.8
20446,SP,165655,229.3
20447,SP,6308,165.2
20448,SP,23775,172.5
21232,AC,195152,158.2
21233,BA,146913,106.5
21234,BA,56222,131.6
21235,BA,32022,104.1
21236,BA,156204,126.0
21237,BA,4096,95.6
21238,BA,37500,77.9
21239,CE,8488,106.8
21240,ES,24993,600.0
21241,ES,18213,245.9
21242,ES,5815,137.0
21243,GO,393417,127.7
21244,GO,1414483,157.9
21245,GO,37325,139.3
21246,MA,962616,124.1
21247,MG,4486,137.2
21248,MG,45576,130.7
21249,MG,5188,161.4
21250,MG,14934,144.4
21251,MG,6210,145.1
21252,MG,12251,94.5
21253,MG,1260,203.3
21254,MG,17815,148.6
21255,MG,1715,160.3
21256,MG,3272,117.2
21257,MG,1555,179.7
21258,MG,9402,156.2
21259,MG,1704,165.9
21260,MG,30698,163.1
21261,MG,3142,141.7
21262,MG,64566,150.1
21263,MS,22552,132.1
21264,MS,3136,154.4
21265,MS,32109,147.0
21266,MT,27763,136.2
21267,PA,37972,451.8
21268,PE,4725,95.3
21269,PE,9107,109.2
21270,PE,11974,48.8
21271,PI,2124,128.4
21272,PI,8514,91.4
21273,PI,7340,97.9
21274,PR,4761,117.8
21275,PR,1773718,148.9
21276,PR,8115,147.1
21277,PR,21103,93.8
21278,PR,10665,129.9
21279,RO,1458,192.5
21280,RS,26550,187.9
21281,SC,10114,101.8
21282,SP,2162,151.4
21283,SP,23751,209.2
21284,SP,30959,337.4
21285,SP,2528,184.8
21286,SP,50068,169.2
21287,SP,116298,224.9
21288,SP,15019,149.4
21289,SP,2117,179.6
21290,SP,12004,192.8
21291,SP,1701,164.0
21292,SP,1744,179.3
21293,SP,146664,187.1
21294,SP,5017,157.0
21295,SP,4214,157.1
21296,SP,2332,64.5
22036,AL,58738,50.2
22037,BA,14886,69.8
22038,BA,13664,159.5
22039,BA,286962,148.9
22040,BA,6355,103.3
22041,BA,78605,107.0
22042,BA,20575,83.5
22043,CE,215246,142.5
22044,CE,21284,130.6
22045,CE,4576,149.2
22046,ES,8445,143.8
22047,ES,8499,155.6
22048,GO,13379,118.7
22049,MA,18260,311.7
22050,MG,8479,349.6
22051,MG,4670,421.5
22052,MG,1987,135.1
22053,MG,13923,137.3
22054,MG,25525,116.1
22055,MG,3655,155.2
22056,MG,6927,106.3
22057,MG,9079,147.5
22058,MG,1577,135.3
22059,MG,77200,139.2
22060,MG,6012,162.3
22061,MG,1198,176.8
22062,MG,2995,174.0
22063,MG,8149,185.6
22064,MG,25466,229.0
22065,MS,6406,149.9
22066,MS,7969,95.2
22067,MT,23341,183.8
22068,PB,19780,105.7
22069,PE,18138,83.7
22070,PE,26725,112.8
22071,PI,22711,95.8
22072,PR,3054,140.7
22073,PR,3119,104.1
22074,PR,8061,130.8
22075,PR,11444,149.2
22076,PR,118564,104.3
22077,PR,12078,173.2
22078,RJ,29572,161.6
22079,RJ,8412,146.3
22080,RN,2618,88.4
22081,RS,1731,112.3
22082,RS,2113,185.5
22083,RS,18581,122.6
22084,SC,20500,126.8
22085,SC,985,124.3
22086,SC,24455,126.4
22087,SP,4650,156.4
22088,SP,21767,136.3
22089,SP,37375,297.4
22090,SP,47137,196.5
22091,SP,20067,174.7
22092,SP,2504,186.3
22093,SP,18841,157.2
22094,SP,13374,297.1
22095,SP,49365,152.4
22842,BA,26571,113.4
22843,BA,35952,161.1
22844,BA,11326,117.1
22845,CE,4204,133.8
22846,CE,8473,108.8
22847,ES,3128,148.8
22848,GO,5745,159.9
22849,GO,21620,128.0
22850,GO,1250,118.3
22851,GO,40817,162.1
22852,GO,16816,68.5
22853,MG,4503,137.3
22854,MG,35317,150.3
22855,MG,1799,106.9
22856,MG,4209,118.0
22857,MG,21267,238.8
22858,MG,5091,165.6
22859,MG,6231,173.2
22860,MG,28756,137.0
22861,MS,8470,155.2
22862,MS,8846,189.0
22863,PB,4894,109.8
22864,PB,1855,100.7
22865,PE,30804,89.6
22866,PR,36804,153.8
22867,PR,13393,126.1
22868,PR,15643,114.4
22869,PR,3198,96.8
22870,PR,14900,197.0
22871,PR,17391,101.6
22872,PR,117083,152.5
22873,RJ,28652,243.1
22874,RN,17803,107.1
22875,RN,23469,103.1
22876,RN,4241,256.0
22877,RS,23709,263.4
22878,RS,39636,138.9
22879,RS,65026,170.2
22880,SE,7906,81.5
22881,SP,2919,175.2
22882,SP,18302,146.1
22883,SP,32448,204.1
22884,SP,2713,180.6
22885,SP,82907,161.3
22886,SP,21287,153.4
22887,SP,11443,165.7
22888,SP,74961,152.1
22889,SP,11239,174.4
22890,SP,25549,262.3
22891,SP,61949,156.2
22892,SP,434339,141.2
22893,SP,28533,178.8
22894,SP,46641,167.5
22895,SP,6585,180.3
22896,SP,14362,177.4
23568,AL,8297,79.4
23569,BA,5357,87.2
23570,BA,20431,112.5
23571,BA,54342,99.1
23572,BA,36979,108.7
23573,BA,10506,67.1
23574,BA,23470,93.0
23575,CE,3803,172.2
23576,CE,14459,165.6
23577,CE,16855,152.2
23578,ES,27626,156.1
23579,MG,4425,147.8
23580,MG,3301,119.0
23581,MG,80187,146.5
23582,MG,5452,154.5
23583,MG,8396,119.3
23584,MG,1280,128.4
23585,MG,90225,427.5
23586,MG,496,207.6
23587,MS,21613,158.3
23588,MT,4108,149.5
23589,PB,24538,103.2
23590,PB,901,100.9
23591,PI,28227,107.6
23592,PR,18298,119.5
23593,PR,51603,178.9
23594,PR,27043,94.4
23595,PR,34136,107.6
23596,PR,31320,113.3
23597,PR,31527,115.0
23598,PR,9449,110.6
23599,PR,5607,119.8
23600,RR,6780,103.3
23601,RS,799,129.5
23602,RS,40488,154.4
23603,RS,8922,159.0
23604,SC,25058,259.4
23605,SC,52579,183.7
23606,SC,174800,151.0
23607,SC,5201,145.4
23608,SE,35474,136.6
23609,SE,101579,62.1
23610,SP,316473,190.8
23611,SP,17765,151.4
23612,SP,47653,129.4
23613,SP,12146,150.9
23614,SP,13326,225.6
23615,SP,5912,174.0
23616,SP,74779,203.6
23617,SP,1722,192.3
23618,SP,7151,185.6
23619,SP,201418,231.1
23620,SP,1128,185.1
23621,SP,6573,491.6
23622,SP,48058,241.5
23623,SP,32809,169.1
23624,SP,58041,216.2
23625,TO,83179,150.0
24345,BA,5129,146.7
24346,BA,20842,116.7
24347,BA,24949,97.5
24348,BA,7456,122.0
24349,CE,10251,138.9
24350,CE,38586,101.9
24351,ES,6513,165.7
24352,GO,26133,148.9
24353,MG,2031,237.4
24354,MG,19984,178.1
24355,MG,50246,131.6
24356,MG,11268,138.5
24357,MG,8818,169.8
24358,MG,13286,106.2
24359,MG,2700,417.4
24360,MG,16209,127.8
24361,MG,2922,159.0
24362,MG,13507,144.0
24363,MG,7642,207.7
24364,MG,4050,142.0
24365,MG,2362,138.1
24366,MS,5297,202.5
24367,MS,23981,140.0
24368,MS,2960,188.8
24369,MT,16373,184.8
24370,PA,54760,149.7
24371,PE,6881,107.8
24372,PE,5540,83.8
24373,PE,17928,137.0
24374,PI,1821,100.2
24375,PI,4449,135.9
24376,PR,23828,145.0
24377,PR,26582,132.9
24378,PR,3181,303.1
24379,RJ,45127,172.0
24380,RN,1670,104.1
24381,RO,46772,182.6
24382,RS,453501,143.2
24383,RS,606,155.4
24384,SC,613247,176.2
24385,SP,14718,219.0
24386,SP,31736,536.2
24387,SP,52965,245.2
24388,SP,4808,168.1
24389,SP,30871,283.9
24390,SP,8570,358.2
24391,SP,2323,140.4
24392,SP,9536,178.5
24393,SP,15290,146.0
24394,SP,8771,180.0
24395,SP,18767,169.1
24396,SP,2874,192.7
24397,SP,23360,155.8
24398,SP,2317,195.8
25183,BA,23542,113.9
25184,BA,4404,134.8
25185,BA,38476,96.1
25186,BA,71950,126.0
25187,CE,13391,119.8
25188,CE,14936,153.3
25189,ES,13002,125.7
25190,ES,14536,154.8
25191,ES,19466,127.8
25192,GO,21633,162.1
25193,GO,18699,154.4
25194,GO,15258,142.2
25195,MG,3292,245.1
25196,MG,19420,109.5
25197,MG,6222,148.2
25198,MG,8656,150.8
25199,MG,6537,127.2
25200,MG,2605,103.4
25201,MG,10034,149.4
25202,MG,2943,112.0
25203,MG,4578,153.0
25204,MG,15726,175.9
25205,MG,10891,113.8
25206,MG,8561,183.7
25207,MG,3931,165.0
25208,MG,25957,115.7
25209,MG,14912,218.4
25210,MS,1820,199.8
25211,PB,1019,103.7
25212,PB,33991,105.0
25213,PI,19496,109.7
25214,PR,17468,127.9
25215,PR,13450,114.1
25216,PR,140550,98.4
25217,PR,4334,189.8
25218,PR,8301,134.8
25219,PR,18274,104.1
25220,PR,26589,121.2
25221,PR,8689,126.5
25222,RJ,473869,96.1
25223,RJ,17394,239.5
25224,RJ,99927,126.3
25225,RN,235085,125.9
25226,RN,7677,99.8
25227,RO,6855,224.2
25228,RS,8407,131.4
25229,RS,52210,163.2
25230,SC,19448,129.1
25231,SC,23150,137.5
25232,SC,258662,161.5
25233,SC,20298,83.8
25234,SP,2719,180.5
25235,SP,1596,188.8
25236,SP,1223,176.1
25237,SP,133955,135.1
25238,SP,8297,580.5
25239,SP,6745,432.9
25240,SP,101651,223.8
25241,SP,140850,122.4
25242,SP,71821,186.1
25243,SP,22029,181.6
25244,SP,6994,201.2
25245,SP,18314,181.9
25246,SP,5871,203.2
25247,SP,3919,135.1
25248,SP,22229,240.7
25249,TO,2989,128.2
25950,BA,30123,88.7
25951,BA,16214,102.3
25952,BA,22098,87.5
25953,BA,21264,89.9
25954,BA,9248,108.6
25955,CE,15712,116.5
25956,CE,31565,105.1
25957,CE,4186,112.2
25958,CE,16630,157.5
25959,ES,8315,141.4
25960,ES,4586,146.1
25961,GO,1167,170.0
25962,MG,10190,163.4
25963,MG,2665,136.7
25964,MG,10072,155.8
25965,MG,29112,134.2
25966,MG,10370,165.0
25967,MG,1537,166.4
25968,MG,67120,162.4
25969,MG,2940,133.3
25970,MG,25779,156.7
25971,MG,11770,111.2
25972,MG,8985,167.7
25973,MG,19181,206.5
25974,MG,9379,142.5
25975,MG,4133,110.0
25976,MG,3122,152.7
25977,MG,16998,118.8
25978,MS,15896,164.1
25979,MT,27327,104.2
25980,MT,97069,194.8
25981,PR,10793,116.9
25982,PR,358335,134.0
25983,PR,11622,141.1
25984,PR,32937,94.0
25985,RN,59015,111.8
25986,RN,6210,105.9
25987,RN,9035,110.7
25988,RO,2648,126.5
25989,RS,20856,137.9
25990,SC,42785,134.6
25991,SC,78813,142.7
25992,SE,17659,89.7
25993,SE,5297,106.6
25994,SE,15549,107.2
25995,SP,51833,160.9
25996,SP,4982,153.8
25997,SP,4609,156.1
25998,SP,21805,149.4
25999,SP,14542,151.9
26000,SP,3733,242.5
26001,SP,134319,168.6
26002,SP,58957,191.0
26003,SP,3167,185.3
26712,AL,51990,109.2
26713,BA,3945,157.3
26714,BA,14030,118.1
26715,BA,18931,112.7
26716,ES,34783,314.6
26717,ES,18351,133.4
26718,ES,104028,124.3
26719,MA,47416,136.7
26720,MG,5540,102.1
26721,MG,25652,171.5
26722,MG,4997,116.5
26723,MG,5459,125.7
26724,MG,3511,181.0
26725,MG,4578,156.4
26726,MG,10994,137.4
26727,MG,10426,170.2
26728,MG,13927,163.4
26729,MG,11119,172.3
26730,MG,10522,183.6
26731,MG,16723,113.1
26732,MG,1200,68.5
26733,MG,4972,145.3
26734,MS,5520,148.2
26735,MS,18994,528.9
26736,PB,18884,113.0
26737,PB,5806,7.9
26738,PB,3404,75.4
26739,PE,18046,101.4
26740,PI,53967,110.0
26741,PR,72544,98.7
26742,PR,10682,104.6
26743,PR,59244,102.7
26744,PR,39255,235.3
26745,RN,2380,94.6
26746,RN,42160,107.1
26747,RO,138,264.4
26748,RS,1915,156.7
26749,RS,2455,270.9
26750,RS,14695,124.5
26751,SC,26953,114.6
26752,SE,2890,85.5
26753,SP,7369,201.7
26754,SP,89558,134.0
26755,SP,19976,163.8
26756,SP,907,163.7
26757,SP,15782,183.6
26758,SP,241582,192.6
26759,SP,3485,220.6
26760,SP,24881,183.2
26761,SP,16577,173.2
26762,SP,12360,160.8
26763,SP,3076,168.4
26764,SP,8240,222.1
26765,SP,7574,143.9
26766,SP,1916,198.6
26767,SP,1242,189.2
26768,SP,3564,199.7
27469,BA,2929,162.2
27470,BA,553321,118.0
27471,BA,7115,79.6
27472,CE,75308,112.1
27473,CE,21315,130.6
27474,ES,9481,144.8
27475,ES,10096,107.3
27476,ES,3965,139.2
27477,ES,19135,109.0
27478,GO,18393,152.8
27479,GO,214607,136.1
27480,GO,17677,129.5
27481,MG,9549,150.4
27482,MG,4214,126.0
27483,MG,17176,169.8
27484,MG,3037,158.2
27485,MG,2084,118.3
27486,MG,2441,145.4
27487,MG,6967,200.4
27488,MG,2700,91.3
27489,MG,12443,148.1
27490,MG,3600,535.4
27491,MG,7601,142.4
27492,MG,2215,156.0
27493,MG,7237,131.2
27494,MS,78440,125.4
27495,MS,17985,160.5
27496,PB,5130,91.4
27497,PB,3064,91.8
27498,PB,4225,88.6
27499,PE,19899,101.6
27500,PE,39582,104.3
27501,PE,19621,125.3
27502,PI,37505,91.1
27503,PR,13795,133.7
27504,PR,11036,151.2
27505,PR,29244,94.5
27506,PR,8098,133.7
27507,PR,5663,96.5
27508,PR,5095,109.8
27509,PR,9680,98.0
27510,RN,4699,79.0
27511,RN,9855,78.2
27512,RR,16056,76.0
27513,RS,2318,536.2
27514,RS,200858,149.3
27515,RS,44942,134.9
27516,SC,12083,114.3
27517,SC,71549,131.6
27518,SE,15213,88.0
27519,SP,34888,178.5
27520,SP,31584,192.1
27521,SP,10753,174.8
27522,SP,13223,111.5
27523,SP,3039,210.4
27524,SP,5618,172.2
27525,SP,4684,224.2
27526,SP,52923,253.0
27527,SP,5768,164.3
27528,SP,1621,163.7
27529,SP,13010,253.4
27530,SP,17413,225.8
28249,BA,3467,109.4
28250,BA,57601,92.6
28251,BA,23113,119.0
28252,CE,16978,131.4
28253,CE,21502,129.0
28254,CE,21654,123.6
28255,CE,30236,188.5
28256,ES,18456,193.9
28257,ES,5647,124.3
28258,ES,3372,148.4
28259,ES,50075,153.8
28260,GO,11832,165.7
28261,MG,7831,143.0
28262,MG,2176,114.4
28263,MG,254800,163.5
28264,MG,3663,197.3
28265,MG,4938,111.9
28266,MG,63431,158.0
28267,MG,4648,96.4
28268,MG,5179,246.4
28269,MG,94930,115.4
28270,MS,18126,184.7
28271,MT,3500,164.4
28272,PA,14473,135.6
28273,PB,66519,148.5
28274,PB,2289,71.4
28275,PB,29801,99.2
28276,PE,89291,112.9
28277,PI,14732,103.4
28278,PI,2105,156.2
28279,PR,11060,95.0
28280,PR,54363,144.7
28281,PR,16474,107.1
28282,PR,4097,104.7
28283,RJ,36856,159.4
28284,RS,5050,239.1
28285,RS,54678,257.8
28286,RS,18937,133.8
28287,SP,33252,284.6
28288,SP,145317,145.7
28289,SP,212155,129.8
28290,SP,95503,209.5
28291,SP,5897,114.1
28292,SP,6917,191.3
29005,AL,16035,248.2
29006,AP,48518,194.1
29007,BA,7822,95.8
29008,BA,71647,118.2
29009,BA,47394,93.8
29010,CE,8614,136.7
29011,CE,17311,129.7
29012,CE,127363,145.2
29013,CE,12190,173.9
29014,CE,16290,160.8
29015,ES,3903,142.0
29016,ES,166786,119.0
29017,ES,10038,141.3
29018,GO,208892,101.8
29019,GO,24516,136.3
29020,MG,4253,149.5
29021,MG,16739,135.6
29022,MG,6898,324.6
29023,MG,6904,134.6
29024,MG,8120,172.5
29025,MG,5952,141.2
29026,MG,3359,117.1
29027,MG,18860,197.3
29028,MS,28982,173.0
29029,MS,16601,112.4
29030,PA,204623,153.1
29031,PB,3969,81.6
29032,PE,29462,67.1
29033,PE,46667,140.9
29034,PR,16243,117.7
29035,PR,150454,143.5
29036,RJ,24711,618.2
29037,RS,3262,114.6
29038,RS,29285,145.7
29039,SC,168900,221.0
29040,SE,25771,84.7
29041,SE,8848,112.0
29042,SP,3398,192.3
29043,SP,2459,158.5
29044,SP,20191,244.2
29045,SP,5340,351.2
29046,SP,55315,199.8
29047,SP,6488,193.2
29048,SP,2470,159.9
29049,SP,1133,210.5
29050,SP,10340,294.1
29051,SP,6775,190.2
29836,BA,12187,104.0
29837,BA,16105,134.8
29838,BA,6868,100.1
29839,BA,30193,151.3
29840,BA,7113,84.7
29841,CE,5489,137.8
29842,ES,94765,153.6
29843,ES,7462,162.0
29844,GO,18108,105.8
29845,MG,13882,107.6
29846,MG,14698,131.4
29847,MG,25269,215.1
29848,MG,7456,169.9
29849,MG,38776,115.3
29850,MG,46421,175.6
29851,MG,2816,134.6
29852,MG,2968,134.2
29853,MG,1529,176.9
29854,MG,5540,126.8
29855,MG,89102,148.2
29856,MG,10984,184.7
29857,MG,4634,169.7
29858,MG,7960,154.9
29859,MG,2457,128.3
29860,MG,13787,152.0
29861,MG,5042,147.1
29862,MG,9485,137.5
29863,MG,115622,120.6
29864,MS,24396,148.6
29865,MS,20569,165.7
29866,MT,40250,242.8
29867,PR,13907,118.9
29868,PR,8134,205.8
29869,PR,35804,153.0
29870,PR,5019,104.3
29871,RJ,70667,158.2
29872,RJ,91557,159.4
29873,RJ,21596,172.3
29874,RN,690187,143.5
29875,RS,41976,193.1
29876,RS,74105,88.1
29877,SE,595959,133.6
29878,SE,9278,97.0
29879,SP,9415,143.9
29880,SP,21697,134.9
29881,SP,37085,126.4
29882,SP,1675,206.3
29883,SP,10864,307.5
29884,SP,3783,114.1
29885,SP,101101,171.2
29886,SP,8122,171.0
